date,admin1,temp_max,temp_min,precipitation
2023-01-01,Aleppo,7.9,-9.9,0.0
2023-01-01,Damascus,6.7,-9.2,0.0
2023-01-01,Homs,10.2,-8.7,0.0
2023-01-01,Idlib,6.0,-7.2,1.8
2023-01-01,Lattakia,7.4,-1.1,1.7
2023-01-01,Hama,11.8,-9.1,0.0
2023-01-01,Al-Hasakah,3.9,-10.2,0.3
2023-01-01,Deir ez-Zor,9.4,-11.1,0.0
2023-01-02,Aleppo,9.0,-12.5,0.0
2023-01-02,Damascus,3.5,-8.0,0.0
2023-01-02,Homs,7.7,-10.1,0.2
2023-01-02,Idlib,3.0,-10.3,1.6
2023-01-02,Lattakia,11.9,-0.7,0.0
2023-01-02,Hama,5.5,-7.0,6.1
2023-01-02,Al-Hasakah,3.1,-11.2,0.0
2023-01-02,Deir ez-Zor,8.9,-7.7,0.0
2023-01-03,Aleppo,6.4,-6.9,0.0
2023-01-03,Damascus,8.6,-4.6,0.0
2023-01-03,Homs,-2.3,-8.4,0.2
2023-01-03,Idlib,7.8,-13.4,2.6
2023-01-03,Lattakia,9.5,-0.9,0.0
2023-01-03,Hama,10.3,-7.6,11.2
2023-01-03,Al-Hasakah,3.6,-11.2,0.0
2023-01-03,Deir ez-Zor,13.5,-7.5,0.6
2023-01-04,Aleppo,6.2,-8.3,0.0
2023-01-04,Damascus,8.4,-8.6,3.4
2023-01-04,Homs,5.8,-4.2,11.9
2023-01-04,Idlib,7.5,-11.3,5.6
2023-01-04,Lattakia,12.6,-1.9,5.0
2023-01-04,Hama,4.7,-9.8,0.0
2023-01-04,Al-Hasakah,1.1,-10.1,5.9
2023-01-04,Deir ez-Zor,12.0,-7.9,0.0
2023-01-05,Aleppo,2.0,-8.8,0.0
2023-01-05,Damascus,8.5,-6.3,6.5
2023-01-05,Homs,6.5,-9.4,0.9
2023-01-05,Idlib,8.6,-10.1,4.0
2023-01-05,Lattakia,9.7,2.1,2.0
2023-01-05,Hama,10.6,-7.2,0.0
2023-01-05,Al-Hasakah,5.1,-12.0,18.1
2023-01-05,Deir ez-Zor,13.6,-7.6,0.0
2023-01-06,Aleppo,8.8,-11.3,5.2
2023-01-06,Damascus,7.1,-6.4,0.0
2023-01-06,Homs,7.3,-10.4,0.0
2023-01-06,Idlib,5.2,-12.0,0.9
2023-01-06,Lattakia,12.4,1.5,4.8
2023-01-06,Hama,8.0,-11.0,0.0
2023-01-06,Al-Hasakah,9.2,-7.4,8.3
2023-01-06,Deir ez-Zor,15.6,0.4,0.0
2023-01-07,Aleppo,6.0,-7.1,14.7
2023-01-07,Damascus,2.5,-7.2,0.2
2023-01-07,Homs,3.3,-10.9,0.0
2023-01-07,Idlib,9.5,-11.3,3.8
2023-01-07,Lattakia,15.3,2.7,2.0
2023-01-07,Hama,6.6,-12.2,16.4
2023-01-07,Al-Hasakah,3.8,-5.8,1.4
